Timestamp,EMF(uT),Motion(G),Pressure(hPa),Lat,Long
13:55:32,45,12.77,992.277,51.6911,-1.3660
13:55:38,45,13.91,992.247,51.6911,-1.3660
13:55:45,45,14.48,992.277,51.6911,-1.3660
13:55:53,45,13.55,992.408,51.6911,-1.3660
13:56:01,46,13.71,992.498,51.6911,-1.3660
13:56:09,47,13.19,992.345,51.6911,-1.3660
13:56:16,45,13.05,992.260,51.6911,-1.3660
13:56:23,46,13.00,992.159,51.6911,-1.3660
13:56:31,45,12.89,992.187,51.6911,-1.3660
13:56:38,46,13.18,992.392,51.6911,-1.3660
13:56:44,45,12.15,992.427,51.6911,-1.3660
13:56:51,45,13.64,992.632,51.6911,-1.3660
13:56:59,45,13.31,992.706,51.6911,-1.3660
13:57:07,46,13.29,992.712,51.6911,-1.3660
13:57:15,47,13.14,992.707,51.6911,-1.3660
13:57:23,45,14.33,992.524,51.6911,-1.3660
13:57:30,46,13.12,992.399,51.6911,-1.3660
13:57:36,46,13.31,992.468,51.6911,-1.3660
13:57:41,46,12.92,992.469,51.6911,-1.3660
13:57:46,46,14.22,992.466,51.6911,-1.3660
13:57:52,46,13.43,992.440,51.6911,-1.3660
13:57:57,46,13.70,992.482,51.6911,-1.3660
